GroupID,Description,Status,EnabledPermission
ROOTGROUP,Root Group,Active,Add auto payment rules | Add/delete auto payment rules | Add/update payment methods | Associate Account | Biller Level Account-based Auto Payment Rules | Biller Level Cancel Scheduled Payments | Biller Level Customer Enrollment | Biller Level Customer Payment | Biller Level Customer Search | Biller Level Modify Customer | Blacklist Fund Accounts | Change Associate Status | Change Status | Change contact info | Change login information | Change payment method | Change profile information | Compose event e-mails | Compose group e-mails | Config Biller Management | Contact Information | Delete auto payment rules | Delete payment methods | Edit and target banners | Execute biller reports | Group and user permissions | Groups and users | Inbox | Login Information | Make customer payments | Manual selection of bills | Modify Account Attributes | Modify account payment eligibility flags | One time payments | Payment search | Print quality report | Process Pending Enrollments | Quality feedback update | Random selection of bills | Reinstate Blacklisted Fund Accounts | Release bills for publishing | Resubmit failed payments | Search Blacklisted Fund Accounts | Send account group e-mail | Send target group e-mail | Target groups | View auto payment rules | View biller reports | View next bill | View payment methods | View selected bills | View/cancel payment activity | View/search auto payment rules | View/update/delete payment methods
METAVANTE,Metavante support group,Active,Add auto payment rules | Add/update payment methods | Associate Account | Biller Level Cancel Scheduled Payments | Biller Level Customer Enrollment | Biller Level Customer Payment | Biller Level Customer Search | Change Associate Status | Change Status | Compose event e-mails | Compose group e-mails | Config Biller Management | Contact Information | Delete auto payment rules | Delete payment methods | Execute biller reports | Group and user permissions | Groups and users | Inbox | Login Information | Make customer payments | Manual selection of bills | One time payments | Payment search | Print quality report | Quality feedback update | Random selection of bills | Release bills for publishing | Search Blacklisted Fund Accounts | Send account group e-mail | Send target group e-mail | Target groups | View auto payment rules | View biller reports | View next bill | View payment methods | View selected bills | View/cancel payment activity | View/search auto payment rules | View/update/delete payment methods
BillingCSR,Billing CSR,Active,Add auto payment rules | Add/delete auto payment rules | Add/update payment methods | Biller Level Account-based Auto Payment Rules | Biller Level Cancel Scheduled Payments | Biller Level Customer Payment | Biller Level Customer Search | Biller Level Reverse Payments | Blacklist Fund Accounts | Change contact info | Change payment method | Config Biller Management | Delete auto payment rules | Delete payment methods | Execute biller reports | Make customer payments | Modify Account Attributes | Modify account payment eligibility flags | One time payments | Payment search | Reinstate Blacklisted Fund Accounts | Resubmit failed payments | Search Blacklisted Fund Accounts | View auto payment rules | View biller reports | View payment methods | View/cancel payment activity | View/search auto payment rules | View/update/delete payment methods
ServiceCenterManager,ServiceCenterManager,Active,Biller Level Account-based Auto Payment Rules | Biller Level Cancel Scheduled Payments | Biller Level Customer Payment | Biller Level Customer Search | Biller Level Reverse Payments | Config Biller Management | Execute biller reports | Make customer payments | Modify Account Attributes | Modify account payment eligibility flags | One time payments | Payment search | Resubmit failed payments | View auto payment rules | View biller reports | View payment methods | View/cancel payment activity | View/search auto payment rules
ServiceCenterCSR,ServiceCenterCSR,Active,Biller Level Account-based Auto Payment Rules | Biller Level Cancel Scheduled Payments | Biller Level Customer Payment | Biller Level Customer Search | Biller Level Reverse Payments | Config Biller Management | Make customer payments | Modify Account Attributes | Modify account payment eligibility flags | One time payments | Payment search | Resubmit failed payments | View auto payment rules | View payment methods | View/cancel payment activity | View/search auto payment rules
